;ThermoPair mV, T approx comp, T approx controller
-3.699, -100, -97.9375
-3.518, -95, -93.1875
-3.337, -90, -88.375
-3.156, -85, -83.5
-2.975, -80, -78.75
-2.794, -75, -73.9375
-2.613, -70, -69.0625
-2.432, -65, -64.3125
-2.251, -60, -59.5
-2.07, -55, -54.625
-1.889, -50, -49.9375
-1.708, -45, -45.125
-1.527, -40, -40.25
-1.346, -35.1213, -35.5
-1.165, -30.2426, -30.75
-0.984, -25.4617, -25.8125
-0.803, -20.686, -21.0625
-0.622, -15.974, -16.3125
-0.441, -11.2727, -11.4375
-0.26, -6.63265, -6.6875
-0.079, -2.01531, -2.1875
0.102, 2.56927, 2.3125
0.283, 7.12846, 6.75
0.464, 11.6708, 11.25
0.645, 16.1845, 15.8125
0.826, 20.6914, 20.3125
1.007, 25.1605, 24.8125
1.188, 29.6296, 29.375
1.369, 34.0686, 33.875
1.55, 38.5049, 38.3125
1.731, 42.9197, 42.75
1.912, 47.3236, 47.0625
2.093, 51.715, 51.375
2.274, 56.087, 55.8125
2.455, 60.4589, 60.1875
2.636, 64.8309, 64.5
2.817, 69.2029, 68.9375
2.998, 73.5577, 73.25
3.179, 77.9087, 77.875
3.36, 82.2651, 82.25
3.541, 86.6265, 86.625
3.722, 90.9903, 90.9375
3.903, 95.3623, 95.375
4.084, 99.7343, 99.6875
4.265, 104.116, 104.063
4.446, 108.499, 108.5
4.627, 112.895, 112.813
4.808, 117.299, 117.125
4.989, 121.716, 121.688
5.17, 126.152, 126.125
5.351, 130.591, 130.563
5.532, 135.049, 135.063
5.713, 139.507, 139.5
5.894, 143.985, 143.938
6.075, 148.465, 148.438
6.256, 152.96, 152.875
6.437, 157.463, 157.313
6.618, 161.975, 161.938
6.799, 166.5, 166.375
6.98, 171.028, 170.875
7.161, 175.564, 175.438
7.342, 180.1, 179.938
7.523, 184.637, 184.438
7.704, 189.173, 189
7.885, 193.7, 193.5
8.066, 198.225, 197.938
8.247, 202.75, 202.625
8.428, 207.275, 207.125
8.609, 211.796, 211.563
8.79, 216.309, 216.125
8.971, 220.819, 220.563
9.152, 225.31, 225
9.333, 229.801, 229.563
9.514, 234.282, 234
9.695, 238.762, 238.438
9.876, 243.227, 243
10.057, 247.685, 247.563
10.238, 252.127, 251.938
10.419, 256.553, 256.375
10.6, 260.978, 260.75
10.781, 265.403, 265.125
10.962, 269.829, 269.563
11.143, 274.223, 273.938
11.324, 278.617, 278.313
11.505, 283.01, 282.75
11.686, 287.403, 287.25
11.867, 291.787, 291.563
12.048, 296.159, 296
12.229, 300.529, 300.313
12.41, 304.88, 304.563
12.591, 309.231, 309
12.772, 313.582, 313.313
12.953, 317.933, 317.625
13.134, 322.278, 322
13.315, 326.619, 326.313
13.496, 330.957, 330.875
13.677, 335.287, 335.188
13.858, 339.617, 339.5
14.039, 343.947, 343.75
14.22, 348.278, 348.125
14.401, 352.595, 352.438
14.582, 356.905, 356.688
14.763, 361.214, 361.063
14.944, 365.524, 365.313
15.125, 369.833, 369.688
15.306, 374.143, 374
15.487, 378.452, 378.25
