;ThermoPair mV, T approx comp, T approx controller
-0.28, -50, -46.6875
-0.252, -45, -42.0625
-0.224, -40, -37.4375
-0.196, -35, -32.875
-0.168, -30, -28.25
-0.14, -25, -23
-0.112, -20, -18.375
-0.084, -15, -13.8125
-0.056, -10, -9.1875
-0.028, -5, -4.5625
0, 0, 0
0.028, 5, 4.5625
0.056, 10, 9.1875
0.084, 14.9123, 13.75
0.112, 19.8246, 18.375
0.14, 24.5, 23
0.168, 29.1667, 28.25
0.196, 33.7705, 32.875
0.224, 38.3607, 37.4375
0.252, 42.8571, 42.0625
0.28, 47.3016, 46.6875
0.308, 51.6667, 51.0625
0.336, 55.9091, 55.5625
0.364, 60.1471, 59.5
0.392, 64.2647, 63.4375
0.42, 68.3824, 67.375
0.448, 72.4286, 71.3125
0.476, 76.4286, 75.25
0.504, 80.4225, 79.75
0.532, 84.3662, 83.6875
0.56, 88.3099, 87.5625
0.588, 92.2222, 91.5
0.616, 96.1111, 95.4375
0.644, 100, 99.375
0.672, 103.836, 103.563
0.7, 107.671, 107.125
0.728, 111.467, 110.688
0.756, 115.2, 114.25
0.784, 118.933, 117.813
0.812, 122.597, 121.375
0.84, 126.234, 125.438
0.868, 129.87, 129
0.896, 133.462, 132.563
0.924, 137.051, 136.125
0.952, 140.633, 139.75
0.98, 144.177, 143.313
1.008, 147.722, 147.375
1.036, 151.25, 150.938
1.064, 154.75, 154.25
1.092, 158.25, 157.563
1.12, 161.728, 160.938
1.148, 165.185, 164.25
1.176, 168.642, 168.063
1.204, 172.073, 171.375
1.232, 175.488, 174.75
1.26, 178.902, 178.063
1.288, 182.289, 181.375
1.316, 185.663, 184.75
1.344, 189.036, 188.5
1.372, 192.381, 191.875
1.4, 195.714, 195.188
1.428, 199.048, 198.5
1.456, 202.353, 201.813
1.484, 205.647, 204.938
1.512, 208.941, 208.625
1.54, 212.235, 211.75
1.568, 215.529, 214.938
1.596, 218.824, 218.125
1.624, 222.093, 221.313
1.652, 225.349, 224.5
1.68, 228.605, 228.125
1.708, 231.839, 231.313
1.736, 235.057, 234.5
1.764, 238.276, 237.625
1.792, 241.477, 240.813
1.82, 244.659, 244
1.848, 247.841, 247.625
1.876, 251.023, 250.875
1.904, 254.205, 253.938
1.932, 257.386, 257
1.96, 260.568, 260.063
1.988, 263.75, 263.125
2.016, 266.932, 266.625
2.044, 270.111, 269.688
2.072, 273.222, 272.75
2.1, 276.333, 275.813
2.128, 279.444, 278.875
2.156, 282.556, 281.938
2.184, 285.667, 285.438
2.212, 288.778, 288.5
2.24, 291.868, 291.563
2.268, 294.945, 294.625
2.296, 298.022, 297.688
2.324, 301.087, 300.813
2.352, 304.13, 304.188
2.38, 307.174, 307.125
2.408, 310.217, 310.063
2.436, 313.261, 313
2.464, 316.304, 315.938
2.492, 319.348, 318.875
2.52, 322.366, 322.188
2.548, 325.376, 325.125
2.576, 328.387, 328.063
2.604, 331.398, 331
2.632, 334.409, 333.938
2.66, 337.419, 336.875
2.688, 340.43, 340.25
2.716, 343.441, 343.188
2.744, 346.452, 346.125
2.772, 349.462, 349.063
2.8, 352.447, 352.063
2.828, 355.426, 354.938
2.856, 358.404, 358.25
2.884, 361.383, 361.125
2.912, 364.362, 364
2.94, 367.34, 366.875
2.968, 370.316, 369.75
2.996, 373.263, 372.688
3.024, 376.211, 376
3.052, 379.158, 378.875
3.08, 382.105, 381.75
3.108, 385.053, 384.625
3.136, 388, 387.5
